"id","template_id","template_name","report_product_name","report_name","sample_info","basic_info","product_desc","test_result_summary","important_targeted_gene_summary","cancer_risk_tip","total_risk_assessment","thyroid_cancer_hot_spot_result","hrd_state_score_tip","hrd_state_brac12_tip","hrd_state_tip","sarcoma_typing","sarcoma_typing1","endometrial_carcinoma_typing","iymphoma_typing","iymphoma_prognosis","brain_glioma","brain_glioma_1166","midline_cancer","kidney_cancer","thyroid_cancer_prognosis","variant_list","somatic_drug_tip","cr_drug_tip","somatic_mutation_tip","cr_mutation_tip","somatic_mutation_DR_tip","cr_mutation_DR_tip","approved_targeted_drug_FDA_NMPA","endocrine_therapy","TMB","MSI","MMR","Immunity_P_N","HPD","HLA_LON","HLA_LON_1","tumor_neoantigen","PD","approved_immunity_drug","hrr","cancer_risk_anal","hrd_state_anal","thyroid_iymphoma_drug_anal","variant_mutation_anal","somatic_mutation_anal","cr_mutation_anal","variant_anal","mrd","TMB_anal","MSI_anal","MMR_anal","Immunity_P_N_anal","HPD_anal","HLA_LOH_anal","tumor_neoantigen_anal","prognostic_anal","melanoma_prognosis","chemo_anal","WES","QC","tumor_gene_significance","sarcoma_gene","brain_glioma_gene","midline_cancer_significance","rcc_features","salivary_gland_tumor_gene","endometrial_prognosis","HRR45_BRCA45_HRD_genebg_intro","HRR45_BRCA45_gene_intro","HRR45_BRCA45_HRD_people_feat","gene_instability_intro_HRD","hrd_and_tumor_therapy","common_drug_gene_list","gene_intro","cancer_bg_intro","cancer_improtant_gene","test_cancer_gene_panel","cancer_gene_pathogenicity","method_limit","test_method","genetic_interpretation","variant_interpretation_statement","variant_test_summary","test_flow","reference","signal_pathway","screening_methods_excluding_genetic","glioma_marker_significance","glioma_genetic_risk_gene","faq","has_subreport","deleted","creator","create_time","updater","update_time"
"1","0","泛实体瘤188基因检测报告","","实体瘤188基因检测报告","1","0","1","1","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","1","0","1","1","0","0","0","0","0","0","1","1","0","0","1","0","1","1","0","0","0","1","1","0","0","0","0","1","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","1","1","0","1","0","0","1","1","0","1","0","1","0","0","1","0","0","levi","18/11/2025 15:16:25","levi","18/11/2025 15:16:25"
"2","0","NovoPM1.0检测报告","","实体瘤550基因检测报告","1","0","1","1","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","1","1","1","1","1","1","0","0","0","0","1","1","0","0","1","0","1","1","0","0","1","1","1","1","1","0","0","1","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","1","1","0","1","0","0","1","1","0","1","0","1","0","0","1","0","0","levi","18/11/2025 15:16:27","levi","18/11/2025 15:16:27"
"3","0","NOVO泛癌种1238检测报告","","实体瘤1238基因检测报告","1","0","1","1","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","1","1","1","1","1","1","0","0","0","0","1","1","0","0","1","0","1","1","0","0","1","1","1","1","1","0","0","1","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","1","1","0","1","0","0","1","1","0","1","0","1","0","0","1","0","0","levi","18/11/2025 15:16:28","levi","18/11/2025 15:16:28"
"4","0","肉瘤1238+1166基因检测报告","","肉瘤1238+1166基因检测报告","1","0","1","1","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","1","1","1","0","0","0","0","1","1","0","0","0","0","1","1","0","0","1","1","1","1","1","0","0","1","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","1","1","0","1","0","0","1","1","0","1","0","1","0","0","1","0","0","levi","19/8/2025 14:44:31","levi","19/8/2025 14:44:31"
"5","0","泛实体瘤1238+1166基因检测报告","","实体瘤1238+1166基因检测报告","1","0","1","1","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","1","1","1","1","1","1","0","0","0","0","1","1","0","0","1","0","1","1","0","0","1","1","1","1","1","0","0","1","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","1","1","0","1","0","0","1","1","0","1","0","1","0","0","1","0","0","levi","18/11/2025 15:16:36","levi","18/11/2025 15:16:36"
"6","0","泛实体瘤550+596基因检测报告","","实体瘤550+596基因全景版检测报告","1","0","1","1","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","1","1","1","1","1","1","0","0","0","0","1","1","0","0","1","0","1","1","0","0","1","1","1","1","1","0","0","1","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","1","1","0","1","0","0","1","1","0","1","0","1","0","0","1","0","0","levi","18/11/2025 15:16:37","levi","18/11/2025 15:16:37"
"7","0","肉瘤550+596基因检测报告","","骨及软组织肿瘤550+596基因全景版检测报告","1","0","1","1","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","1","1","1","0","0","0","0","1","1","0","0","0","0","1","1","0","0","1","1","1","1","1","0","0","1","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","1","1","0","1","0","0","1","1","0","1","0","1","0","0","1","0","0","levi","30/5/2025 10:40:50","levi","30/5/2025 10:40:50"
"8","0","全外显子组升级版（WES Plus）基因检测报告","","全外显子组升级版（WES Plus）基因检测报告","1","0","1","1","1","0","0","1","1","1","1","1","0","1","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","0","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","0","0","1","0","1","0","0","0","0","0","1","1","0","1","1","0","1","0","0","0","0","0","1","0","1","0","0","1","0","0","levi","18/11/2025 15:16:39","levi","18/11/2025 15:16:39"
"9","0","1238_HRDscore基因检测报告","","肿瘤同源重组修复缺陷（HRD max）全景版检测报告","1","0","1","1","1","0","0","1","1","1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","0","1","1","1","1","1","0","0","0","0","1","1","0","1","1","0","1","1","0","0","1","1","1","1","1","0","0","0","1","1","0","1","0","0","0","0","1","0","1","1","0","0","1","1","1","1","0","1","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","levi","18/11/2025 15:16:41","levi","18/11/2025 15:16:41"
"10","0","泛实体瘤550+HRD基因检测报告","","肿瘤同源重组修复缺陷（HRD plus）升级版检测报告","1","0","1","1","1","0","0","1","1","1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","0","1","1","1","1","1","0","0","0","0","1","1","0","1","1","0","1","1","0","0","1","1","1","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","levi","18/11/2025 15:16:42","levi","18/11/2025 15:16:42"
"11","0","泛实体瘤188基因+HRDscore检测报告","","实体瘤188基因+同源重组修复缺陷评分（HRD score）检测报告","1","0","1","1","1","0","0","1","1","1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","1","0","1","1","0","0","0","0","0","0","1","1","0","1","1","0","1","1","0","0","0","1","1","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","levi","18/11/2025 15:16:42","levi","18/11/2025 15:16:42"
"12","0","鼻咽癌1238基因检测报告","","鼻咽癌1238基因检测报告","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0","0","1","1","1","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","levi","19/6/2025 10:22:06","levi","19/6/2025 10:22:06"
"13","0","实体瘤462基因检测报告","","实体瘤462基因检测报告","1","0","1","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","1","1","1","1","1","1","0","0","0","0","1","1","0","0","1","0","1","1","0","0","1","1","1","1","1","0","0","1","1","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","levi","18/11/2025 15:16:44","levi","18/11/2025 15:16:44"
"14","0","泛癌种86基因检测报告","","实体瘤86基因检测报告","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","levi","25/3/2025 19:31:08","levi","25/3/2025 19:31:08"
"15","0","BRCA45基因检测报告","","DNA损伤修复45基因检测报告","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","levi","16/3/2025 23:36:15","levi","16/3/2025 23:36:19"
"16","0","HRR45_HRDscore基因检测报告","","肿瘤同源重组修复缺陷（HRD pro）专业版检测报告","1","0","1","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","1","1","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","levi","16/3/2025 23:39:48","levi","16/3/2025 23:39:52"
"17","0","泌尿系统肿瘤99基因检测报告","","泌尿系统肿瘤99基因检测报告","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","1","1","1","1","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","1","1","1","1","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","levi","16/3/2025 23:42:50","levi","16/3/2025 23:42:55"
